Initial Solid Degradable Fraction,Placement Dry Density,Placement Moisture Content,Maximum Hydrolysis Rate,Thermal Conductivity,Specific Heat Capacity,Injection Pressure,Injection Duration,Time,Methane Generation,Max Temp
36.4,653.7,43.5,2500,0.5,1649.6,0,0,16.714,100.0735098,55.099408
36.4,653.7,43.5,2500,0.5,1649.6,0,0,16.853,100.1674384,54.658302
36.4,653.7,43.5,2500,0.5,1649.6,0,0,16.992,100.2472081,54.204454
36.4,653.7,43.5,2500,0.5,1649.6,0,0,17.131,100.3157909,53.741295
36.4,653.7,43.5,2500,0.5,1649.6,0,0,17.271,100.3776995,53.271926
36.4,653.7,43.5,2500,0.5,1649.6,0,0,17.41,100.4336444,52.803213
36.4,653.7,43.5,2500,0.5,1649.6,0,0,17.549,100.4877181,52.327569
36.4,653.7,43.5,2500,0.5,1649.6,0,0,17.689,100.5433527,51.840346
36.4,653.7,43.5,2500,0.5,1649.6,0,0,17.828,100.5943445,51.346183
36.4,653.7,43.5,2500,0.5,1649.6,0,0,17.967,100.6348298,50.841902
36.4,653.7,43.5,2500,0.5,1649.6,0,0,18.106,100.6666696,50.328477
36.4,653.7,43.5,2500,0.5,1649.6,0,0,18.246,100.6938766,49.806766
36.4,653.7,43.5,2500,0.5,1649.6,0,0,18.385,100.7175914,49.287689
36.4,653.7,43.5,2500,0.5,1649.6,0,0,18.524,100.7405357,48.77046
36.4,653.7,43.5,2500,0.5,1649.6,0,0,18.663,100.7662217,48.253734
36.4,653.7,43.5,2500,0.5,1649.6,0,0,18.803,100.7915175,47.733221
36.4,653.7,43.5,2500,0.5,1649.6,0,0,18.942,100.8101791,47.215608
36.4,653.7,43.5,2500,0.5,1649.6,0,0,19.081,100.8227069,46.702469
36.4,653.7,43.5,2500,0.5,1649.6,0,0,19.221,100.8326331,46.195614
36.4,653.7,43.5,2500,0.5,1649.6,0,0,19.36,100.8410984,45.700647
36.4,653.7,43.5,2500,0.5,1649.6,0,0,19.499,100.8497538,45.215954
36.4,653.7,43.5,2500,0.5,1649.6,0,0,19.638,100.8617312,44.74059
36.4,653.7,43.5,2500,0.5,1649.6,0,0,19.778,100.8754998,44.279168
36.4,653.7,43.5,2500,0.5,1649.6,0,0,19.917,100.8855061,43.829624
36.4,653.7,43.5,2500,0.5,1649.6,0,0,20.056,100.8909695,43.384567
36.4,653.7,43.5,2500,0.5,1649.6,0,0,20.195,100.8947918,42.945858
36.4,653.7,43.5,2500,0.5,1649.6,0,0,20.335,100.8981139,42.512784
